unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
52,44,pzds,MC8MF6,140,72,31,0,0,0.44,786.1,178.0,964.54,6.89,https://www.pzds.com/goodsDetails/MC8MF6/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
53,113,kejinshou,35936781,100.0,66,20,0,0,5.81,532.3,150.0,688.11,6.881,https://m.kejinshou.com/goods/details/35936781
54,46,kejinshou,35272794,138.0,61,22,1,100,10.59,633.3,203.0,946.89,6.862,https://m.kejinshou.com/goods/details/35272794
55,53,pzds,MC0GCS,135,64,30,0,0,0.5,706.6,214.0,921.1,6.823,https://www.pzds.com/goodsDetails/MC0GCS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
56,25,pzds,MCGC31,160,80,36,0,0,7.79,761.3,320.0,1089.09,6.807,https://www.pzds.com/goodsDetails/MCGC31/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
57,117,kejinshou,35889640,100.0,57,13,1,100,47.91,346.3,184.0,678.21,6.782,https://m.kejinshou.com/goods/details/35889640
58,57,kejinshou,34557961,135.0,78,33,0,0,7.25,589.7,318.0,914.95,6.777,https://m.kejinshou.com/goods/details/34557961
59,79,kejinshou,35231183,120.0,70,25,0,0,9.64,530.05,273.0,812.69,6.772,https://m.kejinshou.com/goods/details/35231183
60,195,kejinshou,34783782,60.0,62,17,0,0,0.44,296.2,108.0,404.64,6.744,https://m.kejinshou.com/goods/details/34783782
61,68,kejinshou,35417411,130.0,73,31,0,0,1.55,619.2,250.0,870.75,6.698,https://m.kejinshou.com/goods/details/35417411
62,102,kejinshou,28539238,110.0,80,29,0,0,0.0,451.6,284.0,735.6,6.687,https://m.kejinshou.com/goods/details/28539238
63,41,kejinshou,35347934,150.0,80,38,0,0,18.65,679.1,300.0,997.75,6.652,https://m.kejinshou.com/goods/details/35347934
64,67,pzds,MCHVKJ,132,65,26,0,0,6.97,710.2,160.0,877.17,6.645,https://www.pzds.com/goodsDetails/MCHVKJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
65,29,kejinshou,34998618,160.0,76,27,1,100,43.99,685.1,234.0,1063.09,6.644,https://m.kejinshou.com/goods/details/34998618
66,85,pzds,MCCN04,120,71,30,0,0,2.56,555.6,239.0,797.16,6.643,https://www.pzds.com/goodsDetails/MCCN04/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
67,51,pzds,MCESSZ,140,80,32,0,0,8.58,737.1,184.0,929.68,6.641,https://www.pzds.com/goodsDetails/MCESSZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
68,32,kejinshou,35182308,158.0,78,29,1,100,13.29,590.0,344.0,1047.29,6.628,https://m.kejinshou.com/goods/details/35182308
