value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
59,59,MCG66G,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCG66G/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
60,60,MC3AKE,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC3AKE/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
61,61,MC38PZ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC38PZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
62,62,MC1E9V,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1E9V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
63,63,MC86Q4,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC86Q4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
64,64,MCDWK2,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCDWK2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
65,65,MC6EAK,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC6EAK/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
66,66,MCH4QE,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCH4QE/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
67,67,MC8N2V,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC8N2V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
68,68,MC0Q05,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC0Q05/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
69,69,MC4K9D,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4K9D/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
